travel_order_sentence,start,end,middle
Je veux voyager de Pont-de-Claix à Isbergues mais je dois impérativement d'abord voyager à Bondy,Pont-de-Claix,Isbergues,Bondy
Je suis près de Seurre à côté du supermarché je dois impérativement passer à la pharmacie de Oderen avant d'me rendre à Changis-St-Jean,Seurre,Changis-St-Jean,Oderen
Je me trouve Rosey objectif Berganty,Rosey,Berganty,
Emmène-moi à Rémilly non je voulais dire à Héricy et là je suis à Neuilly-sur-Marne,Neuilly-sur-Marne,Héricy,
Il me faut un itinéraire Gannes Paris-Gare-de-Lyon,Gannes,Paris-Gare-de-Lyon,
Avant d'arriver à Écommoy il faut que je absolument faire un stop à Trois-Chênes,,Écommoy,Trois-Chênes
Allons à la Le crotoy en partant de St gervais les bains mais avant ça je veux aller à St leger de linieres,St gervais les bains,Le crotoy,St leger de linieres
Je pars de Villefranche-de-Rouergue je vais à La Bachellerie,Villefranche-de-Rouergue,La Bachellerie,
Je dois choper quelque chose à Villa Amélie en allant de Rue Bréa vers Place Gabriel Kaspereit,Rue Bréa,Place Gabriel Kaspereit,Villa Amélie
J'ai eu un rendez-vous chez mon ami qui habite dans le nord de Rue Jean Arp j'habite pas loin de Rue Notre-Dame des Victoires et je dois pas aller à Square du Vexin mais à côté à Rue Giffard,Rue Notre-Dame des Victoires,Rue Giffard,
Nouveau trajet alors comment dire Je pars de Le Havre je dois finir à Argelès-sur-Mer mais avant la fin je dois voir quelqu'un à Vern,Le Havre,Argelès-sur-Mer,Vern
Non pas Labergement-Ste-Marie je voulais dire Meximieux-Pérouges puis Bois-d'Oingt-Légny enfin Epernay,Meximieux-Pérouges,Epernay,Bois-d'Oingt-Légny
Calcul d'itinéraire Impasse Salembrière vers Rue Henry de Bournazel,Impasse Salembrière,Rue Henry de Bournazel,
Villa d'Alésia destination Quai d'Orsay,Villa d'Alésia,Quai d'Orsay,
Allons à la Place de Barcelone en partant de Voie Cd/15 mais avant ça je veux aller à Passage de l'Union,Voie Cd/15,Place de Barcelone,Passage de l'Union
Comment se rendre à Rue de Tahiti en partant de Rue Bernard Tétu,Rue Bernard Tétu,Rue de Tahiti,
Berganty le point de départ est Surmont,Surmont,Berganty,
Commence Vincent froideville continue Hinckange termine Ceaux en loudun,Vincent froideville,Ceaux en loudun,Hinckange
J'ai besoin d'un itinéraire Alors on va dire départ Rue de Lorraine arrivée Rue de Constantinople ah non non Rue Lécuyer pardon mais faut passer par Rue de Constantinople,Rue de Lorraine,Rue Lécuyer,Rue de Constantinople
Je veux aller de Ossès-St-Martin-d'Arrossa jusqu'à Montaigut mais pas directement Faut que je fasse un arrêt à Les Yvris-Noisy-le-Grand avant d'arriver,Ossès-St-Martin-d'Arrossa,Montaigut,Les Yvris-Noisy-le-Grand
Nouveau trajet alors comment dire Je pars de Place Gambetta je dois finir à Place de Barcelone mais avant la fin je dois voir quelqu'un à Impasse Bourdin,Place Gambetta,Place de Barcelone,Impasse Bourdin
Je suis près de Ceton à côté du supermarché je dois impérativement passer à la pharmacie de Auzouville sur saane avant d'me rendre à Moulin neuf,Ceton,Moulin neuf,Auzouville sur saane
Comment puis-je aller à Pradelles de Ste foy la longue par Collan,Ste foy la longue,Pradelles,Collan
Pour aller à Passage Bourgoin je dois traverser Allée de la Reine Marguerite Passage des Deux Pavillons je voulais dire et je débute à Rue de l'Abbé Rousselot,Rue de l'Abbé Rousselot,Passage Bourgoin,Passage des Deux Pavillons
J'ai un colis à récupérer à St pantaly d excideuil en allant de Ste mere à Peyrusse grande,Ste mere,Peyrusse grande,St pantaly d excideuil
Ma mère m'attend à Limoux sur la route entre Le Havre et Sérifontaine,Le Havre,Sérifontaine,Limoux
Rue Alfred Stevens Voie G/11 pardon Rue de Palestine en passant en face de Voie Cx/18 pour me rendre à Rue Lécuyer,Rue de Palestine,Rue Lécuyer,Voie Cx/18
Je voudrais un billet de train pour Vivonne non je voulais dire Naintré-les-Barres et je partirai de Jussey,Jussey,Naintré-les-Barres,
Pour aller à Wimille-Wimereux je dois traverser Les Vallées Givors-Canal je voulais dire et je débute à Provins,Provins,Wimille-Wimereux,Givors-Canal
Je veux plus aller à Étrépagny maintenant je veux aller à Beuvrages avec un detour à Épinal en allant de Ossès-St-Martin-d'Arrossa,Ossès-St-Martin-d'Arrossa,Beuvrages,Épinal
Le métro est en panne à Voie Z/20 du coup je dois partir de Rue Marietta Alboni pour aller à Avenue des Peupliers,Rue Marietta Alboni,Avenue des Peupliers,
Je voulais aller Santeuil-Le Perchay mais finalement ce sera Bailleul-Sir-Berthoult Surdon,Bailleul-Sir-Berthoult,Surdon,
Changis-St-Jean par Thésée,,Changis-St-Jean,Thésée
Comment aller de Savy berlette jusqu'à Bulson,Savy berlette,Bulson,
Je pars de Phalempin je vais comment à Surdon,Phalempin,Surdon,
Je veux aller de Pont-de-Claix à Sérifontaine mais je dois d'abord aller à Le Lioran,Pont-de-Claix,Sérifontaine,Le Lioran
Trouve-moi une route je suis actuellement à Rue de Lorraine ah oui et avant d'arriver à Square du Périgord je dois absolument faire un stop à Rue des Frères Flavien,Rue de Lorraine,Square du Périgord,Rue des Frères Flavien
Pour me rendre à Barentin-Embranchement je dois passer par Commercy en partant de Roubaix Ossès-St-Martin-d'Arrossa,Ossès-St-Martin-d'Arrossa,Barentin-Embranchement,Commercy
Position actuelle Surdon direction Dardilly-les-Mouilles ah non je voulais dire Villennes-sur-Seine,Surdon,Villennes-sur-Seine,
Provins Villereversure en suivant le chemin de La Bouteille,Provins,Villereversure,La Bouteille
Position Esperce destination finale St leger du malzieu,Esperce,St leger du malzieu,
Je pars de Gannes pour aller à Tagolsheim,Gannes,Tagolsheim,
J'ai un colis à récupérer à Voie Cu/17 en allant de Rue de l'Elysée à Rue du Soleil,Rue de l'Elysée,Rue du Soleil,Voie Cu/17
Je dois être Mayet rapidement je suis St priest la roche,St priest la roche,Mayet,
Humberville Kaysersberg vignoble pardon Blequin en passant en face de Terres de haute charente pour me rendre à Le monteil,Blequin,Le monteil,Terres de haute charente
Pour aller de Areines à May sur orne je dois d'abord passer par L isle sur le doubs,Areines,May sur orne,L isle sur le doubs
Je dois voyager à Jaulnay Hannon je voulais dire Lurcy pardon et je suis à Chatte là,Chatte,Lurcy,
Porte Saint-James par Place Simone Michel-Lévy,,Porte Saint-James,Place Simone Michel-Lévy
On va à Montereau Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER) et on part de Dunkerque-Port-Ouest,Dunkerque-Port-Ouest,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),
Il me faut une route de Limoges-Puy-Imbert ah non attends ah oui de Montigny-Beauchamp à Meudon-Val-Fleury mais avec un détour devant Baud s'il te plaît,Montigny-Beauchamp,Meudon-Val-Fleury,Baud
Vas-y on bouge de Rue Henry de Bournazel direct Rue Notre-Dame des Victoires,Rue Henry de Bournazel,Rue Notre-Dame des Victoires,
J'ai une course à faire Villa du Danube est sur mon trajet de Place Gabriel Kaspereit à Rue de Palestine,Place Gabriel Kaspereit,Rue de Palestine,Villa du Danube
Le magasin de Rue Jongkind est fermé du coup je dois partir de Place de Barcelone m'arrêter à Voie Ay/16 pour aller à Rue Lécuyer,Place de Barcelone,Rue Lécuyer,Voie Ay/16
Chemin vers Saugon,,Saugon,
Hier c'était Toulis et attencourt aujourd'hui c'est Pradelles escale Glatigny terminus Andance,Pradelles,Andance,Glatigny
Voyons voir Rue Jacques Baudry non de Rue Pelée jusqu'à Rue de Monbel,Rue Pelée,Rue de Monbel,
De Impasse Massonnet excuse-moi donc Quai Saint-Bernard à Rue Henri Moissan,Quai Saint-Bernard,Rue Henri Moissan,
Bien que Rue des Reculettes soit plus court je préfère aller de Rue Bosquet à Souterrain Berger Est en passant par Rue des Trois Couronnes,Rue Bosquet,Souterrain Berger Est,Rue des Trois Couronnes
Oublie Saintes calcule Montaigut St-Pierre-la-Cour par Montlaur,Montaigut,St-Pierre-la-Cour,Montlaur
Comment de Graffenwald à Pont-Cardinet,Graffenwald,Pont-Cardinet,
Guincourt à Quercitello c’est où,Guincourt,Quercitello,
Écommoy par Langres,,Écommoy,Langres
Permet moi de me rendre de Rue du Père Corentin à Avenue Joseph Bédier en passant par Allée Louis Aragon,Rue du Père Corentin,Avenue Joseph Bédier,Allée Louis Aragon
On part de Avenue de la Grande Armée on s'arrête en face de Rue Eugène Carrière puis Place Gabriel Kaspereit,Avenue de la Grande Armée,Place Gabriel Kaspereit,Rue Eugène Carrière
Je suis fatigué et je vais aller à la maison qui est à Cordemais mais je dois d'abord aller au travail puis partir de Châteaulin pour aller à la maison,Châteaulin,Cordemais,
Je pensais aller Rue du Hainaut mais en fait je pars de Rue Gay-Lussac je récupère un truc à Rue Meissonier puis direction Rue de Castellane,Rue Gay-Lussac,Rue de Castellane,Rue Meissonier
Calcule un trajet mais pas direct Je veux partir de Voie Cd/15 ensuite Rue de l'Abbé Roger Derry et pour finir Rue Pierre Mouillard,Voie Cd/15,Rue Pierre Mouillard,Rue de l'Abbé Roger Derry
Rue des Grands Augustins depuis Villa Ornano,Villa Ornano,Rue des Grands Augustins,
Rue Mercoeur à Rue de Tolbiac c’est où,Rue Mercoeur,Rue de Tolbiac,
Trace-moi St-Cyr Farbus,St-Cyr,Farbus,
J'ai rendez-vous à Avenue de Camoëns à 14h puis je dois aller à Rue de l'Elysée je suis à Rue Bosquet,Rue Bosquet,Rue de l'Elysée,Avenue de Camoëns
Montrecourt Lebetain je fais comment,Montrecourt,Lebetain,
Le chemin Petit couronne Chainaz les frasses s'il te plaît,Petit couronne,Chainaz les frasses,
Hey tu peux me déposer à Fallon Ah et sur le chemin faut qu'on s'arrête à Cieurac Je t'attends à Espedaillac,Espedaillac,Fallon,Cieurac
Aller à Porte Saint-James en empruntant le chemin de Place Paul Beauregard Rue du Sénégal en partant de Rue Bosquet,Rue Bosquet,Porte Saint-James,Rue du Sénégal
J'habite à Virieu le grand je dois passer par L oree d ecouves pour aller à Blequin,Virieu le grand,Blequin,L oree d ecouves
Comment puis-je aller à Oissel de Blequin par Denonville,Blequin,Oissel,Denonville
C'était Verneville hier aujourd'hui c'est Millencourt pause Fravaux terminus Lafrancaise,Millencourt,Lafrancaise,Fravaux
J'ai une course à faire Rosny-sous-Bois est sur mon trajet de Villereversure à Isbergues,Villereversure,Isbergues,Rosny-sous-Bois
Besoin d'un chauffeur départ Vélines arrêt obligatoire à Nevers-Le Banlay arrivée finale Meximieux-Pérouges,Vélines,Meximieux-Pérouges,Nevers-Le Banlay
Je pars de Cransac dans une heure pause déjeuner à Ambazac pour arriver à Seurre ce soir,Cransac,Seurre,Ambazac
Quettreville sur sienne par Fremainville ah non Aulnay la riviere par Montigny sur aube pour Pradelles,Aulnay la riviere,Pradelles,Montigny sur aube
Calcule un itinéraire mais pas direct je veux partir de Rue du Chalet ensuite Villa Honoré Gabriel Riqueti et pour finir Rue de Lorraine,Rue du Chalet,Rue de Lorraine,Villa Honoré Gabriel Riqueti
Laguépie Hannon de Bourg-St-Maurice vers Donjeux,Bourg-St-Maurice,Donjeux,
Pour aller de Jarnac à Anor je dois d'abord passer par Marcelcave,Jarnac,Anor,Marcelcave
Passe par Promenade Georgette Elgey entre Boulevard de Port-Royal et Rue Jules Pichard,Boulevard de Port-Royal,Rue Jules Pichard,Promenade Georgette Elgey
Je suis à Audun-le-Roman et je veux prendre le chemin qui passe par Abbeville pour aller à Moyeuvre-Grande,Audun-le-Roman,Moyeuvre-Grande,Abbeville
Je dois me déplacer vers Donjeux afin de me rendre à Paris-Gare-de-Lyon,Donjeux,Paris-Gare-de-Lyon,
Position actuelle Epargnes direction Chavanay ah non je voulais dire Espeyrac,Epargnes,Espeyrac,
Aller à Lebetain,,Lebetain,
Graye sur mer par Vercourt ah non Le crotoy par Segre en anjou bleu pour Segos,Le crotoy,Segos,Segre en anjou bleu
Ma mère m'attend à Villa Maurice Rollinat sur la route entre Rue René Boulanger et Passage des Panoramas,Rue René Boulanger,Passage des Panoramas,Villa Maurice Rollinat
Je dois passer par Lens pour aller à Epernay en partant de St-Pol-de-Léon,St-Pol-de-Léon,Epernay,Lens
Non pas Montreuil je voulais dire Montaigut puis L'Estaque enfin Epernay,Montaigut,Epernay,L'Estaque
Je dois me déplacer vers Rue Montmartre afin de me rendre à Boulevard de Denain,Rue Montmartre,Boulevard de Denain,
Je veux aller de Brassac-les-Mines-Ste-Florine jusqu'à Argelès-sur-Mer mais pas directement Faut que je fasse un arrêt à Bretigny-Norges avant d'arriver,Brassac-les-Mines-Ste-Florine,Argelès-sur-Mer,Bretigny-Norges
Je dois être à Cordemais avant midi je pars de Hoelschloch,Hoelschloch,Cordemais,
Pontrieux Écommoy en suivant le chemin de Brive-la-Gaillarde,Pontrieux,Écommoy,Brive-la-Gaillarde
Faut passer à Erdre-Active entre Villabé et Coussey pour récup un truc,Villabé,Coussey,Erdre-Active
Commence St-Pierre-la-Cour continue Loches termine Morcenx,St-Pierre-la-Cour,Morcenx,Loches
Il me faudrait Schopperten direction Chainaz les frasses,Schopperten,Chainaz les frasses,
J'ai eu un rendez-vous chez mon ami qui habite dans le nord de Krautwiller j'habite pas loin de Jonville en woevre et je dois pas aller à Liezey mais à côté à Chatte,Jonville en woevre,Chatte,
Guide-moi de Les Saules à Paris-Gare-de-Lyon,Les Saules,Paris-Gare-de-Lyon,
Je dois poser quelque chose à Sathonay-Rillieux entre Jarnac et Watten-Éperlecques,Jarnac,Watten-Éperlecques,Sathonay-Rillieux
Je dois passer à Les lilas pour me rendre Millencourt de Vincent froideville mais je préfère passer par Lavignac finalement,Vincent froideville,Millencourt,Lavignac
Ma mère m'attend à Boulevard Lefebvre sur la route entre Rue du Chalet et Rue du Général Archinard,Rue du Chalet,Rue du Général Archinard,Boulevard Lefebvre
Je pars de Rue de Villafranca je vais comment à Rue Giffard,Rue de Villafranca,Rue Giffard,
Je veux voyager Cité Hittorf mais pas directement d'abord je me lance de Rue Joseph de Maistre et je dois impérativement passer par Rue Paul Lelong,Rue Joseph de Maistre,Cité Hittorf,Rue Paul Lelong
Souterrain Berger Est direct apres Rue Amélie depart Voie Ee/20,Voie Ee/20,Souterrain Berger Est,Rue Amélie
Rue Bernard Tétu Impasse des Trois Soeurs,Rue Bernard Tétu,Impasse des Trois Soeurs,
Position actuelle Voie Fd/20 direction Place Léo Ferré ah non je voulais dire Cour Jacques Viguès,Voie Fd/20,Cour Jacques Viguès,
Calcul d'itinéraire St-Cyr vers Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),St-Cyr,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),
Allons à La collancelle en partant de Mezerolles mais avant ça je veux aller à Puymeras,Mezerolles,La collancelle,Puymeras
Je suis perdu entre Route de la Demi Lune et Rue Meyerbeer je veux juste Rue de Monbel Impasse de Joinville,Rue de Monbel,Impasse de Joinville,
Comment on va de Bilieu à Les riceys,Bilieu,Les riceys,
Donc je vais chez un ami à Hohrod et là je suis actuellement à Schopperten,Schopperten,Hohrod,
Rosey à Espeyrac c’est où,Rosey,Espeyrac,
Je dois passer par Rue du Lieutenant-Colonel Deport pour aller à Cité Hittorf en partant de Voie Ee/20,Voie Ee/20,Cité Hittorf,Rue du Lieutenant-Colonel Deport
Je dois être Rue des Gâtines rapidement je suis Place Jean Monnet,Place Jean Monnet,Rue des Gâtines,
Passe par Biarritz entre Provins et Changis-St-Jean,Provins,Changis-St-Jean,Biarritz
Veux me rendre chez mon ami qui habite à Bazoches en partant de Villefranche-sur-Cher mais avant je me rends à St-Loubès,Villefranche-sur-Cher,Bazoches,St-Loubès
Je dois partir de St fargeau merde de Aulnay la riviere pour aller à Tournon sur rhone fait un petit détour à Fieffes montrelet,Aulnay la riviere,Tournon sur rhone,Fieffes montrelet
Hunspach en prenant le passage de Canens,,Hunspach,Canens
Tu me disais Villa de Ségur hier Square de Luynes ce matin mais là je veux juste aller de Rue Henry de Bournazel à Quai Saint-Bernard,Rue Henry de Bournazel,Quai Saint-Bernard,
Cité Hittorf par Rue Clouet,,Cité Hittorf,Rue Clouet
Je dois être à Voie Cg/15 avant midi je pars de Rue Bernard Tétu,Rue Bernard Tétu,Voie Cg/15,
Je voulais aller de Hombourg-Haut à Château-Renault mais finalement je vais de Givet à Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),Givet,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),
Je veux aller à Lérouville mais pas directement d'abord je pars de St-Pierre-la-Cour et je dois passer par Vias,St-Pierre-la-Cour,Lérouville,Vias
J'ai rendez-vous Retiers je pars de Blodelsheim,Blodelsheim,Retiers,
Je dois partir de Voie Cl/16 merde de Souterrain Berger Est pour me rendre à Square du Périgord fait un petit détour à Rue Cambacérès,Souterrain Berger Est,Square du Périgord,Rue Cambacérès
Hier c'était Rue Couche aujourd'hui c'est Rue Joseph de Maistre escale Avenue Bertie Albrecht terminus Passage des Panoramas,Rue Joseph de Maistre,Passage des Panoramas,Avenue Bertie Albrecht
Le monteil en prenant le passage de Arnac la poste,,Le monteil,Arnac la poste
Je veux aller de Rue de Palestine à Place de Barcelone mais je dois d'abord aller à Rue du Père Julien Dhuit,Rue de Palestine,Place de Barcelone,Rue du Père Julien Dhuit
Calcul d'itinéraire Menton-Garavan vers Étriché-Châteauneuf,Menton-Garavan,Étriché-Châteauneuf,
J'habite à Passage Hypathie D'alexandrie je dois aller à Souterrain Berger Est mais je dois passer par Rue Félix Ziem en partant de Rue de la Mire,Rue de la Mire,Souterrain Berger Est,Rue Félix Ziem
Je veux me rendre chez mon ami qui habite à La cabanasse en partant de Uzel pres l oust mais avant je vais à Ville du pont,Uzel pres l oust,La cabanasse,Ville du pont
